distance_km,base_eta_minutes,hour_of_day,day_of_week,traffic_ratio,weather_score,priority_flag,route_complexity_score,historical_delay_factor,actual_delivery_time_minutes
66.01,180.06,15,3,1.82,0.8,0,0.93,1.66,355.51
11.76,24.08,20,3,1.36,0.95,0,0.8,1.34,41.53
47.59,127.74,21,0,1.79,0.76,0,0.41,1.87,259.45
66.38,144.79,18,1,1.45,0.38,0,0.69,1.64,340.74
28.37,61.99,21,2,1.46,0.47,0,0.51,1.13,87.61
37.72,82.23,3,5,1.67,0.55,1,0.79,1.29,129.93
58.33,105.51,15,0,1.21,0.35,0,0.67,1.61,205.96
39.55,68.22,12,3,1.15,0.42,0,0.51,1.47,123.53
54.32,125.48,13,3,1.54,0.55,0,0.48,1.11,169.39
72.69,117.12,0,1,1.07,0.53,0,0.67,1.46,213.26
56.8,151.41,9,2,1.78,0.46,0,0.19,1.62,328.46
14.55,25.35,21,3,1.16,0.8,0,0.44,1.2,35.65
31.39,46.26,23,0,1.13,0.98,1,0.7,1.17,62.13
66.42,143.25,6,5,1.44,0.53,0,0.87,1.36,241.23
26.7,47.44,19,4,1.18,0.91,0,0.72,1.33,85.09
50.06,82.5,2,4,1.1,0.62,0,0.53,1.23,125.01
9.69,17.12,4,4,1.18,0.95,0,0.41,1.49,28.31
81.52,213.74,10,3,1.75,0.4,0,0.53,1.84,475.18
40.77,81.24,19,1,1.33,0.69,0,0.14,1.73,180.8
12.78,21.49,7,3,1.12,0.79,0,0.67,1.63,47.66
10.05,18.6,14,6,1.23,0.37,0,0.43,1.73,39.62
27.64,53.51,4,6,1.29,0.68,0,0.9,1.06,68.07
37.55,90.57,23,6,1.85,0.84,1,0.86,1.42,146.99
65.85,135.07,8,4,1.37,0.41,0,0.34,1.84,337.46
11.31,19.73,1,5,1.16,0.47,0,0.85,1.1,26.36
66.3,147.76,7,6,1.49,0.44,0,0.31,1.03,205.3
11.23,28.07,7,3,1.67,0.73,0,0.79,1.62,59.24
12.01,33.91,10,0,1.88,0.61,0,0.53,1.56,62.74
25.06,39.21,23,6,1.04,0.71,0,0.21,1.04,47.2
82.16,232.65,3,4,1.89,0.87,0,0.77,0.92,255.84
